FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
CIENAGA;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;9118743.92;109424927.04
MARIA;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;8241941.619999999;98903299.44
REMANSO;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;67689137.56;812269650.7199998
PIEDECUESTA;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;29109836.36;349318036.3200001
NAUTICA;75931079.17999999;75931079.17999999;75931079.17999999;75931079.17999999;75931079.17999999;71547067.67999999;58395033.18;58395033.18;58395033.18;58395033.18;58395033.18;58395033.18;801572662.6599997
LAS LINAS;52257417.08;52257417.08;52257417.08;52257417.08;51380614.78;48224126.5;48224126.5;49100928.8;51731335.699999996;51731335.699999996;51731335.699999996;51731335.699999996;612884807.7
DON ALI;34370650.16;34370650.16;34370650.16;34370650.16;34370650.16;33493847.86;32792406.02;32792406.02;32792406.02;32792406.02;32792406.02;32792406.02;402101534.7799999
DR4 DON ALI;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;3331848.7399999998;39982184.879999995
DON CARLOS;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;124155205.67999999
EVA NORTE;81016532.52;80315090.67999999;77860044.24;78561486.08;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;951856576.8799998
DON PEDRO;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;469264590.95999986
LA VELA;27005510.84;27005510.84;27005510.84;27005510.84;27005510.84;26654789.919999998;26304069.0;26304069.0;26304069.0;26304069.0;26304069.0;26304069.0;319506758.12
ESPERANZA;26304069.0;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;24901185.32;23498301.64;23498301.64;23498301.64;23498301.64;23498301.64;23498301.64;298112781.9999999
LINA MARGARITA;15782441.399999999;15782441.399999999;15782441.399999999;15782441.399999999;16834604.16;19465011.06;19640371.52;19640371.52;19640371.52;19640371.52;19640371.52;19640371.52;217271609.94000003
DON MARCE;24199743.48;29986638.66;35948894.3;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;448396696.2200001
ENANO;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;4200000.0
EVA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
SAMI;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;3960000.0
VEGA;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;3000000.0
